ticker,price,vol_24h_usd,vol_30d_avg_usd,oi_usd,funding_bp_hr,premium_bp
TAO,248.74,29647012.2578,52207940.58560161,47592578.3536,0.041163,-5.181972
DOGE,0.096113,49695527.241082,10592663.761078129,36804592.995268,0.076073,-4.263727
NEAR,1.3926,8180074.090289997,6628515.4480177425,39331380.33132,0.125,0.0
ENA,0.11974,26177971.718469996,6244718.665560904,32786034.78488,-0.001853,-7.760347
TON,1.3942,2441950.0143999993,2014507.3094270965,18275136.514280003,0.125,-1.2186379999999999
ONDO,0.26085,2624266.43138,1381249.8728490323,4401758.1912,0.125,-5.362957000000001
JTO,0.32672,678327.4969199996,1093777.6344025806,1783307.67808,-0.5266430000000001,-15.516188000000001
PENDLE,1.3609,5950449.967799998,875424.6688387097,6277292.7836,0.125,0.0
STRK,0.03568,799316.6570730002,674284.7049288386,4038089.5018560006,-0.360064,-8.396306000000001
AR,2.004,1390549.5031719992,607879.6230615162,535312.5681599999,0.125,0.0
REZ,0.003961,135229.9228829999,590678.2214394839,594098.0079140001,0.125,0.0
SAGA,0.023,2389141.3404409997,324249.37095141935,2212475.4504,0.125,0.0
POLYX,0.05177,127124.063158,301262.76868667745,628362.7236799999,0.125,0.0
W,0.01265,219681.1655500001,247321.1344054839,1057520.47346,-0.310132,-7.892659999999999
TNSR,0.04144,182365.117033,244242.51323883873,254007.72319999998,0.125,0.0
GALA,0.003365,176678.021162,146041.10885387097,340924.34911,0.125,0.0
DYM,0.02087,404328.0439709999,145924.86308245163,290166.53753200005,-0.282811,-9.560229
ENS,6.0848,85631.272993,104171.49712893552,1883411.7150400002,0.125,0.0
MAV,0.016645,124758.896818,87548.55248758064,98107.86043,0.125,0.0
NOT,0.000401,49548.763199,27865.12148454839,148897.541966,0.125,0.0
